Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_50_100,Gas_600_800,Gas_800_1000,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Gas_ovr_1000,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_50_100,Nuclear_600_800,Nuclear_800_1000,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200,Nuclear_below_50,Nuclear_ovr_1000
11,427.7900859,470.4042011,1111.605537,187.972614,264.6,507.2557001,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1404.117719,273.9,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
12,427.7900859,470.4042011,791.275537,260.2447835,264.6,507.2557001,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1404.117719,273.9,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
13,427.7900859,470.4042011,791.275537,260.2447835,264.6,507.2557001,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,214.5,574,1404.117719,273.9,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
14,427.7900859,470.4042011,791.275537,260.2447835,264.6,507.2557001,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,214.5,574,1404.117719,273.9,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
15,427.7900859,470.4042011,791.275537,260.2447835,264.6,531.6585573,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1404.117719,273.9,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
16,427.7900859,470.4042011,791.275537,260.2447835,264.6,531.6585573,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1404.117719,273.9,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
17,449.4504632,470.4042011,791.275537,260.2447835,264.6,531.6585573,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
18,449.4504632,470.4042011,791.275537,260.2447835,264.6,531.6585573,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1646.937642,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
19,449.4504632,470.4042011,791.275537,187.972614,264.6,531.6585573,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1646.937642,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
20,449.4504632,470.4042011,791.275537,187.972614,264.6,531.6585573,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1646.937642,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
21,449.4504632,470.4042011,791.275537,187.972614,264.6,531.6585573,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1646.937642,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
22,449.4504632,470.4042011,791.275537,187.972614,264.6,531.6585573,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1646.937642,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
23,449.4504632,470.4042011,791.275537,187.972614,264.6,531.6585573,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
24,449.4504632,470.4042011,791.275537,187.972614,264.6,531.6585573,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
25,449.4504632,470.4042011,791.275537,418.8750525,264.6,531.6585573,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
26,449.4504632,470.4042011,791.275537,418.8750525,264.6,507.2557001,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,861,1637.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
27,449.4504632,470.4042011,791.275537,418.8750525,264.6,507.2557001,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,861,1637.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
28,449.4504632,470.4042011,791.275537,418.8750525,264.6,507.2557001,0,35.75,0,0,0,0,0,0,0,0,1434.589316,0,0,107.25,861,1637.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
29,449.4504632,470.4042011,791.275537,885.766373,264.6,507.2557001,0,35.75,0,0,0,0,0,0,0,0,1434.589316,0,0,107.25,717.5,1637.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
30,449.4504632,470.4042011,876.0687722,894.7450525,264.6,507.2557001,0,35.75,0,0,0,0,0,0,0,0,1434.589316,0,0,107.25,717.5,1637.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
31,449.4504632,470.4042011,876.0687722,663.842614,264.6,464.9354296,0,35.75,0,0,0,0,0,0,0,0,1500.739316,0,0,214.5,574,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
32,449.4504632,470.4042011,1196.398772,1139.712614,264.6,498.7916458,0,71.5,0,0,0,0,0,0,0,0,1566.889316,0,0,214.5,574,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
33,449.4504632,470.4042011,1196.398772,1139.712614,264.6,498.7916458,0,71.5,0,0,0,0,0,0,0,0,1500.739316,0,0,214.5,574,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
34,449.4504632,470.4042011,1196.398772,1139.712614,264.6,498.7916458,0,71.5,0,0,0,0,0,0,0,0,1500.739316,0,0,250.25,608.7878787,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
35,449.4504632,470.4042011,1196.398772,1139.712614,264.6,498.7916458,0,71.5,0,0,0,0,0,0,0,0,1500.739316,0,0,250.25,608.7878787,2103.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
36,449.4504632,246.5692011,1195.442563,1139.712614,264.6,498.7916458,0,71.5,0,0,0,0,0,0,0,0,1500.739316,0,0,143,752.2878787,2393.601271,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
37,449.4504632,246.5692011,1195.442563,1139.712614,264.6,498.7916458,0,71.5,0,0,0,0,0,0,0,0,1500.739316,0,0,178.75,608.7878787,2336.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
38,592.9504632,246.5692011,1305.406593,1139.712614,264.6,498.7916458,0,71.5,0,0,0,0,0,0,0,0,1434.589316,0,0,178.75,608.7878787,2336.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
39,571.2900859,246.5692011,1305.406593,1139.712614,264.6,498.7916458,0,35.75,0,0,0,0,0,0,0,0,1434.589316,0,0,178.75,608.7878787,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
40,571.2900859,246.5692011,1305.406593,1139.712614,264.6,498.7916458,0,35.75,0,0,0,0,0,0,0,0,1500.739316,0,0,143,608.7878787,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
41,427.7900859,246.5692011,1128.240839,1337.1359,264.6,498.7916458,0,35.75,0,0,0,0,0,0,0,0,1500.739316,0,0,143,608.7878787,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
42,427.7900859,246.5692011,1128.240839,1337.1359,264.6,498.7916458,0,35.75,0,0,0,0,0,0,0,0,1500.739316,0,0,143,608.7878787,1525.52768,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
43,427.7900859,246.5692011,1128.240839,1337.1359,264.6,498.7916458,0,35.75,0,0,0,0,0,0,0,0,1566.889316,0,0,107.25,608.7878787,1525.52768,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
44,427.7900859,246.5692011,1128.240839,861.2658996,264.6,498.7916458,0,35.75,0,0,0,0,0,0,0,0,1500.739316,0,0,107.25,608.7878787,1525.52768,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
45,427.7900859,246.5692011,1128.240839,861.2658996,264.6,498.7916458,0,35.75,0,0,0,0,0,0,0,0,1500.739316,0,0,107.25,608.7878787,1525.52768,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
46,427.7900859,246.5692011,1128.240839,861.2658996,264.6,498.7916458,0,35.75,0,0,0,0,0,0,0,0,1434.589316,0,0,71.5,861,1525.52768,273.9,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
47,427.7900859,246.5692011,1128.240839,861.2658996,264.6,498.7916458,0,35.75,0,0,0,0,0,0,0,0,1434.589316,0,0,71.5,861,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
48,427.7900859,246.5692011,1128.240839,893.2750924,264.6,498.7916458,0,35.75,0,0,0,0,0,0,0,0,1434.589316,0,0,71.5,574,1404.117719,249,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
